iter	Passed	Remaining
969	23734	734
970	23753	709
971	23773	684
972	23790	660
973	23810	635
974	23827	610
975	23846	586
976	23867	561
977	23888	537
978	23905	512
979	23925	488
980	23953	463
981	23971	439
982	23992	414
983	24011	390
984	24031	365
985	24049	341
986	24069	317
987	24092	292
988	24110	268
989	24134	243
990	24155	219
991	24174	194
992	24203	170
993	24219	146
994	24238	121
995	24258	97
996	24280	73
997	24301	48
998	24319	24
999	24339	0
